year,annual_precip_mm,DJF_mm,MAM_mm,JJA_mm,SON_mm
2015,2849.352012985193,427.5969332658965,913.44483605535,324.89079230045417,915.3463781621463
2016,2336.115135078613,557.5223237090826,854.5633530135553,294.7850587222067,639.4877534489591
2017,2797.005545305655,859.9497384225282,1034.629685346426,437.3263782472295,527.3225743437856
2018,2436.0013695599587,618.809283574754,898.3317711636612,274.73027095939403,681.2510694227354
2019,2884.080045243604,518.2883739465965,983.9107461665878,326.51527764733055,896.7459421535831
2020,3178.1376386921493,737.013696645734,925.9441378707012,837.0680550562134,497.78816586421704
2021,3524.2599749145247,1156.1869371147466,1242.976072488532,561.097102230536,771.4764595390492
2022,3780.6572839662203,889.9761094871886,1310.1168372078448,844.937117830623,812.3117919192484
2023,3803.9293307500484,782.2569077158647,1120.5386290056233,746.8139505698956,895.6190274304092
2024,3029.4065835588603,1012.3618111893405,1018.3025053239228,536.8569389250343,579.3250278558768
2025,3643.5930077114213,1202.2524580421968,1246.9149678566573,494.7200320923644,872.1294279691555
