year,month,precip_mm,precip_accum,spi,spi_class
2015,1,250.18045870223816,,,N/A
2015,2,177.90599206521213,,,N/A
2015,3,260.4514392405824,,,N/A
2015,4,387.3006557890765,,,N/A
2015,5,265.6927410256912,,,N/A
2015,6,91.49396167095699,,,N/A
2015,7,168.727938800603,,,N/A
2015,8,64.66889182889403,,,N/A
2015,9,116.9391710890867,,,N/A
2015,10,355.5133027570789,,,N/A
2015,11,442.89390431598065,,,N/A
2015,12,268.566241886127,2850.3346991715275,-0.41551113921792954,Near normal
2016,1,164.64913611108045,2764.8033765803702,-0.5845489573029979,Near normal
2016,2,136.86661697775233,2723.7640014929098,-0.7097786781949204,Near normal
2016,3,142.92911737629925,2606.241679628627,-0.8926302168254241,Near normal
2016,4,300.50120580150417,2519.442229641055,-1.0612999103441227,Moderately dry
2016,5,411.13302983575176,2664.882518451115,-0.8620735391532197,Near normal
2016,6,105.61743893607105,2679.0059957162293,-0.8542847774914518,Near normal
2016,7,131.69632160513714,2641.9743785207634,-0.9884481594355864,Near normal
2016,8,57.47129818099856,2634.776784872868,-0.9672444666593338,Near normal
2016,9,177.44462699724926,2695.2822407810304,-0.8437720960619659,Near normal
2016,10,262.6453167064948,2602.4142547304464,-1.0177602895443536,Moderately dry
2016,11,199.3978097452155,2358.9181601596815,-1.507810882334395,Severely dry
2016,12,269.6874304294752,2360.0393487030296,-1.540927638873154,Severely dry
2017,1,403.68537550632817,2599.075588098277,-0.9444189913530954,Near normal
2017,2,197.2513302160209,2659.460301336546,-0.8505693626276851,Near normal
2017,3,358.74984599855037,2875.281029958797,-0.3445958790258289,Near normal
2017,4,328.66351326267153,2903.4433374199643,-0.275396681844308,Near normal
2017,5,347.2163260852037,2839.5266336694162,-0.48525275828130626,Near normal
2017,6,225.1966119513259,2959.105806684671,-0.27022221132902147,Near normal
2017,7,60.795825376892594,2888.2053104564266,-0.4362466124395189,Near normal
2017,8,151.33394091901093,2982.067953194439,-0.23332489861564404,Near normal
2017,9,102.6640462714389,2907.2873724686287,-0.3925045630081254,Near normal
2017,10,249.31530052809413,2893.9573562902283,-0.40033702105494184,Near normal
2017,11,175.34322754425267,2869.9027740892648,-0.3848162107030608,Near normal
2017,12,205.83666043693773,2806.0520040967276,-0.5115176824412095,Near normal
2018,1,249.18312111297135,2651.5497497033707,-0.828840191030529,Near normal
2018,2,166.3045525964154,2620.602972083765,-0.9367630458433852,Near normal
2018,3,214.6963488585585,2476.5494749437735,-1.1705433041952364,Moderately dry
2018,4,211.05155893081093,2358.9375206119125,-1.41390477107618,Moderately dry
